Metric name,Example value,Description
v.b.12v.current,0A,Auxiliary 12V battery momentary current
v.b.12v.voltage,12.29V,Auxiliary 12V battery momentary voltage
v.b.12v.voltage.alert,,yes = auxiliary battery under voltage alert
v.b.12v.voltage.ref,12.3V,Auxiliary 12V battery reference voltage
v.b.c.temp,"13,13,…,13°C",Cell temperatures
v.b.c.temp.alert,"0,0,…,0","Cell temperature deviation alert level [0=normal, 1=warning, 2=alert]"
v.b.c.temp.dev.max,"1.43,0.86,…,-1.29°C",Cell maximum temperature deviation observed
v.b.c.temp.max,"19,18,…,17°C",Cell maximum temperatures
v.b.c.temp.min,"13,12,…,12°C",Cell minimum temperatures
v.b.c.voltage,"4.105,4.095,…,4.105V",Cell voltages
v.b.c.voltage.alert,"0,0,…,0","Cell voltage deviation alert level [0=normal, 1=warning, 2=alert]"
v.b.c.voltage.dev.max,"0.0096,-0.0104,…,0.0125V",Cell maximum voltage deviation observed
v.b.c.voltage.max,"4.135,4.125,…,4.14V",Cell maximum voltages
v.b.c.voltage.min,"3.875,3.865,…,3.88V",Cell minimum voltages
v.b.cac,90.7796Ah,Calculated battery pack capacity
v.b.capacity,12.82kwh,Main battery usable capacity [kWh]
v.b.consumption,0Wh/km,Main battery momentary consumption
v.b.coulomb.recd,47.5386Ah,Main battery coulomb recovered on trip/charge
v.b.coulomb.recd.total,947.5386Ah,Main battery coulomb recovered total (life time)
v.b.coulomb.used,0.406013Ah,Main battery coulomb used on trip
v.b.coulomb.used.total,835.406013Ah,Main battery coulomb used total (life time)
v.b.current,0A,Main battery momentary current (output=positive)
v.b.energy.recd,2.69691kWh,Main battery energy recovered on trip/charge
v.b.energy.recd.total,3212.69691kWh,Main battery energy recovered total (life time)
v.b.energy.used,0.0209496kWh,Main battery energy used on trip
v.b.energy.used.total,3177.0209496kWh,Main battery energy used total (life time)
v.b.health,,General textual description of battery health
v.b.p.level.avg,95.90%,Cell level - pack average
v.b.p.level.max,96.41%,Cell level - strongest cell in pack
v.b.p.level.min,94.87%,Cell level - weakest cell in pack
v.b.p.level.stddev,0.55%,Cell level - pack standard deviation
v.b.p.temp.avg,13°C,Cell temperature - pack average
v.b.p.temp.max,13°C,Cell temperature - warmest cell in pack
v.b.p.temp.min,13°C,Cell temperature - coldest cell in pack
v.b.p.temp.stddev,0°C,Cell temperature - current standard deviation
v.b.p.temp.stddev.max,0.73°C,Cell temperature - maximum standard deviation observed
v.b.p.voltage.avg,4.1V,Cell voltage - pack average
v.b.p.voltage.grad,0.0032V,Cell voltage - gradient of current series
v.b.p.voltage.max,4.105V,Cell voltage - strongest cell in pack
v.b.p.voltage.min,4.09V,Cell voltage - weakest cell in pack
v.b.p.voltage.stddev,0.00535V,Cell voltage - current standard deviation
v.b.p.voltage.stddev.max,0.00783V,Cell voltage - maximum standard deviation observed
v.b.power,0kW,Main battery momentary power (output=positive)
v.b.range.est,99km,Estimated range
v.b.range.full,50.8km,Ideal range at 100% SOC & current conditions
v.b.range.ideal,48km,Ideal range
v.b.range.speed,21.6km/h,Momentary ideal range gain/loss (charge/discharge) speed
v.b.soc,96.30%,State of charge
v.b.soh,85%,State of health
v.b.temp,13°C,Main battery momentary temperature
v.b.voltage,57.4V,Main battery momentary voltage
v.c.12v.current,7.8A,Output current of DC/DC-converter
v.c.12v.power,123W,Output power of DC/DC-converter
v.c.12v.temp,34.5°C,Temperature of DC/DC-converter
v.c.12v.voltage,12.3V,Output voltage of DC/DC-converter
v.c.charging,no,yes = currently charging
v.c.climit,0A,Maximum charger output current
v.c.current,1.25A,Momentary charger output current
v.c.duration.full,25Min,Estimated time remaing for full charge
v.c.duration.range,-1Min,… for sufficient range
v.c.duration.soc,0Min,… for sufficient SOC
v.c.efficiency,87.60%,Momentary charger efficiency
v.c.kwh,2.6969kWh,Energy sum for running charge
v.c.kwh.grid,3.6969kWh,Energy drawn from grid during running session
v.c.kwh.grid.total,256.69kWh,Energy drawn from grid total (life time)
v.c.limit.range,0km,Sufficient range limit for current charge
v.c.limit.soc,80%,Sufficient SOC limit for current charge
v.c.mode,standard,"standard, range, performance, storage"
v.c.pilot,no,Pilot signal present
v.c.power,125kW,Momentary charger input power
v.c.state,done,"charging, topoff, done, prepare, timerwait, heating, stopped"
v.c.substate,,"scheduledstop, scheduledstart, onrequest, timerwait, powerwait, stopped, interrupted"
v.c.temp,16°C,Charger temperature
v.c.time,0Sec,Duration of running charge
v.c.timermode,,yes = timer enabled
v.c.timerstart,,"Time timer is due to start, seconds since midnight UTC"
v.c.timestamp,2024-11-11 18:19:21 CET,Date & time of last charge end [DateLocal]
v.c.type,,"undefined, type1, type2, chademo, roadster, teslaus, supercharger, ccs"
v.c.voltage,0V,Momentary charger supply voltage
v.d.cp,yes,yes = Charge port open
v.d.fl,,yes = Front left door open
v.d.fr,,yes = Front right door open
v.d.hood,,yes = Hood/frunk open
v.d.rl,,yes = Rear left door open
v.d.rr,,yes = Rear right door open
v.d.trunk,,yes = Trunk open
v.e.alarm,,yes = Alarm currently sounding
v.e.aux12v,,yes = 12V auxiliary system is on (base system awake)
v.e.awake,no,yes = Vehicle is fully awake (switched on by the user)
v.e.c.config,,yes = ECU/controller in configuration state
v.e.c.login,,yes = Module logged in at ECU/controller
v.e.cabintemp,20°C,Cabin temperature
v.e.cabinfan,100%,Cabin fan
v.e.cabinsetpoint,24°C,Cabin set point
v.e.cabinintake,fresh,"Cabin intake type (fresh, recirc, etc)"
v.e.cabinvent,"feet,face","Cabin vent type (comma-separated list of feet, face, screen, etc)"
v.e.charging12v,no,yes = 12V battery is charging
v.e.cooling,,yes = Cooling
v.e.drivemode,33882626,Active drive profile code (vehicle specific)
v.e.drivetime,0Sec,Seconds driving (turned on)
v.e.footbrake,0%,Brake pedal state [%]
v.e.gear,,"Gear/direction; negative=reverse, 0=neutral"
v.e.handbrake,,yes = Handbrake engaged
v.e.headlights,,yes = Headlights on
v.e.heating,,yes = Heating
v.e.hvac,,yes = HVAC active
v.e.locked,,yes = Vehicle locked
v.e.on,no,yes = Vehicle is in “ignition” state (drivable)
v.e.parktime,49608Sec,Seconds parking (turned off)
v.e.regenbrake,,yes = Regenerative braking active
v.e.serv.range,12345km,Distance to next scheduled maintenance/service [km]
v.e.serv.time,2023-12-03 10:16:05 AWST,Time of next scheduled maintenance/service [DateLocal]
v.e.temp,,Ambient temperature
v.e.throttle,0%,Drive pedal state [%]
v.e.valet,,yes = Valet mode engaged
v.g.generating,no,True = currently delivering power
v.g.climit,0A,Maximum generator input current (from battery)
v.g.current,1.25A,Momentary generator input current (from battery)
