Metric name,Example value,Description
v.b.12v.current,0A,Auxiliary 12V battery momentary current
v.b.12v.voltage,12.29V,Auxiliary 12V battery momentary voltage
v.b.12v.voltage.alert,no,yes = auxiliary battery under voltage alert
v.b.12v.voltage.ref,12.3V,Auxiliary 12V battery reference voltage
v.b.cac,90.7796Ah,Calculated battery pack capacity
v.b.consumption,0Wh/km,Main battery momentary consumption
v.b.coulomb.used,0.406013Ah,Main battery coulomb used on trip
v.b.current,0A,Main battery momentary current (output=positive)
v.b.energy.used,0.0209496kWh,Main battery energy used on trip
v.b.health,Poor,General textual description of battery health
v.b.p.level.avg,95.90%,Cell level - pack average
v.b.p.level.max,96.41%,Cell level - strongest cell in pack
v.b.p.level.min,94.87%,Cell level - weakest cell in pack
v.b.p.temp.avg,13°C,Cell temperature - pack average
v.b.p.temp.max,13°C,Cell temperature - warmest cell in pack
v.b.p.temp.min,13°C,Cell temperature - coldest cell in pack
v.b.p.voltage.avg,4.1V,Cell voltage - pack average
v.b.p.voltage.max,4.105V,Cell voltage - strongest cell in pack
v.b.p.voltage.min,4.09V,Cell voltage - weakest cell in pack
v.b.power,0kW,Main battery momentary power (output=positive)
v.b.range.est,99km,Estimated range
v.b.range.full,50.8km,Ideal range at 100% SOC & current conditions
v.b.range.ideal,48km,Ideal range
v.b.range.speed,21.6km/h,Momentary ideal range gain/loss (charge/discharge) speed
v.b.soc,96.30%,State of charge
v.b.soh,85%,State of health
v.b.temp,13°C,Main battery momentary temperature
v.b.voltage,57.4V,Main battery momentary voltage
v.c.pilot,no,Pilot signal present
v.c.temp,16°C,Charger temperature
v.c.time,0Sec,Duration of running charge
v.d.cp,yes,yes = Charge port open
v.d.fl,no,yes = Front left door open
v.d.fr,yes,yes = Front right door open
v.d.hood,no,yes = Hood/frunk open
v.d.rl,yes,yes = Rear left door open
v.d.rr,no,yes = Rear right door open
v.d.trunk,yes,yes = Trunk open
v.e.awake,no,yes = Vehicle is fully awake (switched on by the user)
v.e.cabinintake,fresh,"Cabin intake type (fresh, recirc, etc)"
v.e.cabintemp,20°C,Cabin temperature
v.e.charging12v,no,yes = 12V battery is charging
v.e.cooling,no,yes = Cooling
v.e.drivetime,0Sec,Seconds driving (turned on)
v.e.gear,0,"Gear/direction; negative=reverse, 0=neutral"
v.e.hvac,no,yes = HVAC active
v.e.locked,yes,yes = Vehicle locked
v.e.on,no,yes = Vehicle is in “ignition” state (drivable)
v.e.parktime,49608Sec,Seconds parking (turned off)
v.e.regenbrake,yes,yes = Regenerative braking active
v.e.temp,7.5°C,Ambient temperature
v.e.throttle,0%,Drive pedal state [%]
v.g.time,0Sec,Duration of generator running
v.i.temp,19.8276°C,Inverter temperature
v.m.rpm,0,Motor speed (RPM)
v.m.temp,0°C,Motor temperature
v.p.altitude,327.8m,GPS altitude
v.p.direction,31.2°,GPS direction
v.p.gpshdop,1.3,GPS horizontal dilution of precision (smaller=better)
v.p.gpslock,no,yes = has GPS satellite lock
v.p.gpsmode,AA,<GPS><GLONASS>; N/A/D/E (None/Autonomous/Differential/Estimated)
v.p.gpssq,80%,"GPS signal quality [%] (<30 unusable, >50 good, >80 excellent)"
v.p.gpsspeed,0km/h,GPS speed over ground
v.p.gpstime,2023-12-03 10:16:05 AWST,Time of GPS coordinates [DateLocal]
v.p.latitude,51.3023,GPS latitude
v.p.longitude,7.39006,GPS longitude
v.p.odometer,57913.1km,Vehicle odometer
v.p.satcount,8,GPS satellite count in view
v.p.speed,0km/h,Vehicle speed
v.p.trip,0km,Trip odometer
v.type,BMWI3,Vehicle type code
v.vin,VF1ACVYB012345678,Vehicle identification number
xi3.s.age,5Min,How long since we last got data from the car
xi3.s.pollermode,0,OBD-II polling mode as explained above
xi3.v.b.p.ocv.avg,4.0646V,Main battery pack - average open-circuit voltage
xi3.v.b.p.ocv.max,4.067V,Main battery pack - highest open-circuit voltage
xi3.v.b.p.ocv.min,4.063V,Main battery pack - lowest open-circuit voltage
xi3.v.b.range.bc,245km,Available range per trip computer (based on current driving mode and style)
xi3.v.b.range.comfort,217km,Available range if you use Comfort mode
xi3.v.b.range.ecopro,245km,Available range if you use EcoPro mode
xi3.v.b.range.ecoproplus,247km,Available range if you use EcoPro+ mode
xi3.v.b.soc.actual,85%,Actual physical state-of-charge of the main battery pack
xi3.v.b.soc.actual.highlimit,93.70%,Highest physical charge level permitted (shown as 100% SOC)
xi3.v.b.soc.actual.lowlimit,10.50%,Minimum physical charge level permitted (shown as 0% SOC)
xi3.v.c.chargecablecapacity,0A,Maximum power capacity of connected charge cable per the charging interface
xi3.v.c.chargeledstate,0,Colour of the “ring light” on the charging interface.
xi3.v.c.chargeplugstatus,Not connected,Charging cable connected?
xi3.v.c.current.dc,0A,Power flowing on the DC side of the AC charger
xi3.v.c.current.dc.limit,0.100003A,Limit
xi3.v.c.current.dc.maxlimit,16A,Maximum limit
xi3.v.c.current.phase1,0A,Power being drawn on AC phase 1
xi3.v.c.current.phase2,0A,Power being drawn on AC phase 2
xi3.v.c.current.phase3,0A,Power being drawn on AC phase 3
xi3.v.c.dc.chargevoltage,0V,Voltage seen on the DC charger input
xi3.v.c.dc.contactorstatus,open,DC contactor state (closed implies we are DC charging)
xi3.v.c.dc.controlsignals,0,DC charger control signals (always see 0?)
xi3.v.c.dc.inprogress,no,DC charging in progress?
xi3.v.c.dc.plugconnected,no,Is DC charger plug connected (doesn’t seem to work)
xi3.v.c.deratingreasons,0,Reasons why charging rate is derated
xi3.v.c.error,0,Charging error codes
xi3.v.c.failsafetriggers,0,Failsafe trigger reasons
xi3.v.c.interruptionreasons,0,Charging interruption reasons
xi3.v.c.pilotsignal,0A,Charge rate pilot signal being received from EVSE
xi3.v.c.readytocharge,no,Are we ready to charge
xi3.v.c.temp.gatedriver,40°C,Charger gatedrive mosfet temperature
xi3.v.c.voltage.dc,8.4V,"Charger output DC voltage being seen (for AC charging, not DC)"
xi3.v.c.voltage.dc.limit,420V,Maximum permitted DC voltge
xi3.v.c.voltage.phase1,0V,Voltage seen on AC charger input phase 1
xi3.v.c.voltage.phase2,0V,Voltage seen on AC charger input phase 2
xi3.v.c.voltage.phase3,0V,Voltage seen on AC charger input phase 3
xi3.v.d.chargeport.dc,no,Is the charger port DC cover open (doesn’t seem to work)
xi3.v.e.autorecirc,no,Ventilation is in “auto-recirculate” mode
xi3.v.e.obdtraffic,no,Are we seeing OBD-II frames from the car?
xi3.v.p.tripconsumption,127Wh/km,Average consumption for the current or most recent trip
xi3.v.p.wheel1_speed,0km/h,Wheel 1 speed
xi3.v.p.wheel2_speed,0km/h,Wheel 2 speed
